,,Duplicate,Permno,Permco,,
PATH,1,1,,,,
PSTB,0,,,,,
RP,0,,,,,
TSRX,1,1,,,,
COR,0,,,,,
ECON,0,,,,,
ENZL,0,,,,,
CBRX,0,,,,,
JNP,0,,,,,
FRBK,0,,,,,
GNCMA,0,,,,,
LNN,0,,,,,
MEAS,0,,,,,
ECNS,0,,,,,
MGPI,1,1,,,,
PPHM,0,,,,,
EPHE,0,,,,,
RNO,0,,,,,
GNR,0,,,,,
SFUN,0,,,,,
VOO,0,,,,,
AMRS,0,,,,,
CHTR,0,,,,,
FULL,1,1,,,,
SQI,0,,,,,
VTWO,0,,,,,
CCG,0,,,,,
MY,0,,,,,
DQ,0,,,,,
EFC,0,,,,,
EXAM,0,,,,,
HBM,0,,,,,
REMX,0,,,,,
PEK,1,1,,,,
XRS,0,,,,,
TOWR,0,,,,,
LYB,0,,,,,
AEGR,0,,,,,
BBRG,0,,,,,
BODY,0,,,,,
CCIH,0,,,,,
GAGA,0,,,,,
HRZN,0,,,,,
KEYW,0,,,,,
MCOX,0,,,,,
NTSP,0,,,,,
PACB,0,,,,,
VRA,0,,,,,
ARX,0,,,,,
BITA,0,,,,,
BAH,1,1,,,,
GM,0,,,,,
GLDX,0,,,,,
GOEX,0,,,,,
URA,0,,,,,
HHC,0,,,,,
IPHI,0,,,,,
NOAH,0,,,,,
PCYG,0,,,,,
SEMG,0,,,,,
SMFG,0,,,,,
TPLM,0,,,,,
XUE,0,,,,,
CMRE,0,,,,,
ANAC,0,,,,,
GNOM,0,,,,,
LPLA,0,,,,,
PRMW,0,,,,,
RDA,0,,,,,
SODA,0,,,,,
TFM,0,,,,,
TKMR,0,,,,,
ABUS,0,,,,,
VNQI,0,,,,,
ZGNX,0,,,,,
IR,0,,,,,
RFP,0,,,,,
HYLD,1,1,,,,
AVL,0,,,,,
DUST,0,,,,,
NUGT,0,,,,,
DANG,0,,,,,
FXCM,0,,,,,
AG,0,,,,,
FRC,0,,,,,
FLT,0,,,,,
GCAP,0,,,,,
ISS,0,,,,,
QRE,0,,,,,
SWFT,0,,,,,
TRGP,0,,,,,
WD,0,,,,,
YOKU,0,,,,,
BONA,0,,,,,
LEDS,0,,,,,
MOBI,0,,,,,
IBM,0,,,,,
QADA,0,,,,,
RNET,0,,,,,
UNXL,0,,,,,
VTUS,0,,,,,
ASMB,0,,,,,
DCIX,0,,,,,
FRP,0,,,,,
NAV,0,,,,,
VELT,0,,,,,
VXUS,0,,,,,
HDGE,0,,,,,
AAT,0,,,,,
BKU,0,,,,,
DMD,1,1,,,,
LFGR,0,,,,,
MCC,0,,,,,
VIXM,0,,,,,
VIXY,0,,,,,
SCHM,0,,,,,
SCHH,0,,,,,
AGRO,0,,,,,
INXN,0,,,,,
NLSN,0,,,,,
FSA,0,,,,,
FOL,0,,,,,
FSG,0,,,,,
GPL,0,,,,,
IFT,0,,,,,
EMG,0,,,,,
KMI,0,,,,,
NPTN,0,,,,,
EDIV,0,,,,,
EBND,0,,,,,
INN,0,,,,,
ITT,0,,,,,
ACRX,0,,,,,
ECYT,0,,,,,
EPOC,0,,,,,
FLDM,0,,,,,
GEVO,0,,,,,
PCOM,0,,,,,
PCRX,0,,,,,
